reel,filename,category,duration,hook,observation,caption,question,hashtags,cta,formatted_caption,viral_caption,viral_question,viral_hashtags,viral_cta,viral_formatted_caption,reflective_caption,reflective_question,reflective_hashtags,reflective_cta,reflective_formatted_caption,product_caption,product_question,product_hashtags,product_cta,product_formatted_caption
11,reels/nazar-reel-011.mp4,city walks,7,crosswalk tenderness,An older man fixed the collar of the woman beside him before the light changed.,An older man fixed the collar of the woman beside him before the light changed.,What small street moment did you almost walk past?,#nazarapp #citywalk #streetpoetry #noticing,Try Nazar.,"An older man fixed the collar of the woman beside him before the light changed.

What small street moment did you almost walk past?

#nazarapp #citywalk #streetpoetry #noticing

Try Nazar.",An older man fixed the collar of the woman beside him before the light changed.,Would you have noticed this?,#nazarapp #citywalk #streetpoetry #noticing #sharethis,Send this to someone who notices small things.,"An older man fixed the collar of the woman beside him before the light changed.

Would you have noticed this?

#nazarapp #citywalk #streetpoetry #noticing #sharethis

Send this to someone who notices small things.","An older man fixed the collar of the woman beside him before the light changed. A small moment, but not an empty one.",What did the day quietly give you?,#nazarapp #citywalk #streetpoetry #noticing #quietbeauty,Return to the smallest true thing.,"An older man fixed the collar of the woman beside him before the light changed. A small moment, but not an empty one.

What did the day quietly give you?

#nazarapp #citywalk #streetpoetry #noticing #quietbeauty

Return to the smallest true thing.",An older man fixed the collar of the woman beside him before the light changed. Nazar gives these small observations a quiet place to live.,What small observation belongs in your Nazar journal?,#nazarapp #citywalk #streetpoetry #noticing,Try Nazar.,"An older man fixed the collar of the woman beside him before the light changed. Nazar gives these small observations a quiet place to live.

What small observation belongs in your Nazar journal?

#nazarapp #citywalk #streetpoetry #noticing

Try Nazar."
12,reels/nazar-reel-012.mp4,city walks,8,morning delivery,"A stack of newspapers landed on the sidewalk with a soft, tired slap.","A stack of newspapers landed on the sidewalk with a soft, tired slap.",What did the city show you when you slowed down?,#nazarapp #citywalk #streetpoetry #noticing,Keep one small thing in Nazar.,"A stack of newspapers landed on the sidewalk with a soft, tired slap.

What did the city show you when you slowed down?

#nazarapp #citywalk #streetpoetry #noticing

Keep one small thing in Nazar.","A stack of newspapers landed on the sidewalk with a soft, tired slap.",What tiny detail did you almost miss today?,#nazarapp #citywalk #streetpoetry #noticing #sharethis,Save this before the day gets loud.,"A stack of newspapers landed on the sidewalk with a soft, tired slap.

What tiny detail did you almost miss today?

#nazarapp #citywalk #streetpoetry #noticing #sharethis

Save this before the day gets loud.","A stack of newspapers landed on the sidewalk with a soft, tired slap. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #citywalk #streetpoetry #noticing #quietbeauty,Carry the detail with you.,"A stack of newspapers landed on the sidewalk with a soft, tired slap. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #citywalk #streetpoetry #noticing #quietbeauty

Carry the detail with you.","A stack of newspapers landed on the sidewalk with a soft, tired slap. Nazar gives these small observations a quiet place to live.",What tiny moment would you keep if there were a quiet place for it?,#nazarapp #citywalk #streetpoetry #noticing,Download Nazar.,"A stack of newspapers landed on the sidewalk with a soft, tired slap. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #citywalk #streetpoetry #noticing

Download Nazar."
13,reels/nazar-reel-013.mp4,city walks,9,window plants,Three apartment plants leaned toward the same narrow strip of sun like they had agreed on it.,Three apartment plants leaned toward the same narrow strip of sun like they had agreed on it.,What ordinary scene felt briefly cinematic today?,#nazarapp #citywalk #streetpoetry #noticing,Notice with Nazar.,"Three apartment plants leaned toward the same narrow strip of sun like they had agreed on it.

What ordinary scene felt briefly cinematic today?

#nazarapp #citywalk #streetpoetry #noticing

Notice with Nazar.",Three apartment plants leaned toward the same narrow strip of sun like they had agreed on it.,Why do moments like this stay with us?,#nazarapp #citywalk #streetpoetry #noticing #sharethis,Share this with someone who would understand.,"Three apartment plants leaned toward the same narrow strip of sun like they had agreed on it.

Why do moments like this stay with us?

#nazarapp #citywalk #streetpoetry #noticing #sharethis

Share this with someone who would understand.","Three apartment plants leaned toward the same narrow strip of sun like they had agreed on it. A small moment, but not an empty one.",Where did beauty appear without announcing itself?,#nazarapp #citywalk #streetpoetry #noticing #quietbeauty,Let the ordinary be enough.,"Three apartment plants leaned toward the same narrow strip of sun like they had agreed on it. A small moment, but not an empty one.

Where did beauty appear without announcing itself?

#nazarapp #citywalk #streetpoetry #noticing #quietbeauty

Let the ordinary be enough.",Three apartment plants leaned toward the same narrow strip of sun like they had agreed on it. Nazar gives these small observations a quiet place to live.,What would you save in Nazar today?,#nazarapp #citywalk #streetpoetry #noticing,Start noticing with Nazar.,"Three apartment plants leaned toward the same narrow strip of sun like they had agreed on it. Nazar gives these small observations a quiet place to live.

What would you save in Nazar today?

#nazarapp #citywalk #streetpoetry #noticing

Start noticing with Nazar."
14,reels/nazar-reel-014.mp4,city walks,10,pigeon decision,A pigeon stopped in the middle of the pavement as if reconsidering its whole morning.,A pigeon stopped in the middle of the pavement as if reconsidering its whole morning.,What small street moment did you almost walk past?,#nazarapp #citywalk #streetpoetry #noticing,Save it in Nazar.,"A pigeon stopped in the middle of the pavement as if reconsidering its whole morning.

What small street moment did you almost walk past?

#nazarapp #citywalk #streetpoetry #noticing

Save it in Nazar.",A pigeon stopped in the middle of the pavement as if reconsidering its whole morning.,Who would understand this kind of noticing?,#nazarapp #citywalk #streetpoetry #noticing #sharethis,Keep this for your next quiet moment.,"A pigeon stopped in the middle of the pavement as if reconsidering its whole morning.

Who would understand this kind of noticing?

#nazarapp #citywalk #streetpoetry #noticing #sharethis

Keep this for your next quiet moment.","A pigeon stopped in the middle of the pavement as if reconsidering its whole morning. A small moment, but not an empty one.",What detail asked nothing from you except attention?,#nazarapp #citywalk #streetpoetry #noticing #quietbeauty,Let one small thing stay with you.,"A pigeon stopped in the middle of the pavement as if reconsidering its whole morning. A small moment, but not an empty one.

What detail asked nothing from you except attention?

#nazarapp #citywalk #streetpoetry #noticing #quietbeauty

Let one small thing stay with you.",A pigeon stopped in the middle of the pavement as if reconsidering its whole morning. Nazar gives these small observations a quiet place to live.,What did you notice that you would want to remember later?,#nazarapp #citywalk #streetpoetry #noticing,Keep it in Nazar.,"A pigeon stopped in the middle of the pavement as if reconsidering its whole morning. Nazar gives these small observations a quiet place to live.

What did you notice that you would want to remember later?

#nazarapp #citywalk #streetpoetry #noticing

Keep it in Nazar."
15,reels/nazar-reel-015.mp4,city walks,11,corner fruit stand,The oranges at the corner store were stacked so carefully they looked like borrowed sunlight.,The oranges at the corner store were stacked so carefully they looked like borrowed sunlight.,What did the city show you when you slowed down?,#nazarapp #citywalk #streetpoetry #noticing,Open Nazar when something small stays with you.,"The oranges at the corner store were stacked so carefully they looked like borrowed sunlight.

What did the city show you when you slowed down?

#nazarapp #citywalk #streetpoetry #noticing

Open Nazar when something small stays with you.",The oranges at the corner store were stacked so carefully they looked like borrowed sunlight.,What is the smallest thing you saved today?,#nazarapp #citywalk #streetpoetry #noticing #sharethis,Send it to the friend who notices everything.,"The oranges at the corner store were stacked so carefully they looked like borrowed sunlight.

What is the smallest thing you saved today?

#nazarapp #citywalk #streetpoetry #noticing #sharethis

Send it to the friend who notices everything.","The oranges at the corner store were stacked so carefully they looked like borrowed sunlight. A small moment, but not an empty one.",What did you want to keep before it passed?,#nazarapp #citywalk #streetpoetry #noticing #quietbeauty,Keep looking softly.,"The oranges at the corner store were stacked so carefully they looked like borrowed sunlight. A small moment, but not an empty one.

What did you want to keep before it passed?

#nazarapp #citywalk #streetpoetry #noticing #quietbeauty

Keep looking softly.",The oranges at the corner store were stacked so carefully they looked like borrowed sunlight. Nazar gives these small observations a quiet place to live.,What did today give you that is worth writing down?,#nazarapp #citywalk #streetpoetry #noticing,Open Nazar and save one thing.,"The oranges at the corner store were stacked so carefully they looked like borrowed sunlight. Nazar gives these small observations a quiet place to live.

What did today give you that is worth writing down?

#nazarapp #citywalk #streetpoetry #noticing

Open Nazar and save one thing."
16,reels/nazar-reel-016.mp4,city walks,12,blue door,"Someone had painted only the inside edge of the door blue, a private color for coming home.","Someone had painted only the inside edge of the door blue, a private color for coming home.",What ordinary scene felt briefly cinematic today?,#nazarapp #citywalk #streetpoetry #noticing,Try Nazar.,"Someone had painted only the inside edge of the door blue, a private color for coming home.

What ordinary scene felt briefly cinematic today?

#nazarapp #citywalk #streetpoetry #noticing

Try Nazar.","Someone had painted only the inside edge of the door blue, a private color for coming home.",Would you have noticed this?,#nazarapp #citywalk #streetpoetry #noticing #sharethis,Send this to someone who notices small things.,"Someone had painted only the inside edge of the door blue, a private color for coming home.

Would you have noticed this?

#nazarapp #citywalk #streetpoetry #noticing #sharethis

Send this to someone who notices small things.","Someone had painted only the inside edge of the door blue, a private color for coming home. A small moment, but not an empty one.",What did the day quietly give you?,#nazarapp #citywalk #streetpoetry #noticing #quietbeauty,Return to the smallest true thing.,"Someone had painted only the inside edge of the door blue, a private color for coming home. A small moment, but not an empty one.

What did the day quietly give you?

#nazarapp #citywalk #streetpoetry #noticing #quietbeauty

Return to the smallest true thing.","Someone had painted only the inside edge of the door blue, a private color for coming home. Nazar gives these small observations a quiet place to live.",What small observation belongs in your Nazar journal?,#nazarapp #citywalk #streetpoetry #noticing,Try Nazar.,"Someone had painted only the inside edge of the door blue, a private color for coming home. Nazar gives these small observations a quiet place to live.

What small observation belongs in your Nazar journal?

#nazarapp #citywalk #streetpoetry #noticing

Try Nazar."
17,reels/nazar-reel-017.mp4,city walks,8,bus stop,A woman at the bus stop held flowers upside down to keep them from opening too soon.,A woman at the bus stop held flowers upside down to keep them from opening too soon.,What small street moment did you almost walk past?,#nazarapp #citywalk #streetpoetry #noticing,Keep one small thing in Nazar.,"A woman at the bus stop held flowers upside down to keep them from opening too soon.

What small street moment did you almost walk past?

#nazarapp #citywalk #streetpoetry #noticing

Keep one small thing in Nazar.",A woman at the bus stop held flowers upside down to keep them from opening too soon.,What tiny detail did you almost miss today?,#nazarapp #citywalk #streetpoetry #noticing #sharethis,Save this before the day gets loud.,"A woman at the bus stop held flowers upside down to keep them from opening too soon.

What tiny detail did you almost miss today?

#nazarapp #citywalk #streetpoetry #noticing #sharethis

Save this before the day gets loud.","A woman at the bus stop held flowers upside down to keep them from opening too soon. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #citywalk #streetpoetry #noticing #quietbeauty,Carry the detail with you.,"A woman at the bus stop held flowers upside down to keep them from opening too soon. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #citywalk #streetpoetry #noticing #quietbeauty

Carry the detail with you.",A woman at the bus stop held flowers upside down to keep them from opening too soon. Nazar gives these small observations a quiet place to live.,What tiny moment would you keep if there were a quiet place for it?,#nazarapp #citywalk #streetpoetry #noticing,Download Nazar.,"A woman at the bus stop held flowers upside down to keep them from opening too soon. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #citywalk #streetpoetry #noticing

Download Nazar."
18,reels/nazar-reel-018.mp4,city walks,9,after school,A child's backpack bounced behind him while he told a story with both hands.,A child's backpack bounced behind him while he told a story with both hands.,What did the city show you when you slowed down?,#nazarapp #citywalk #streetpoetry #noticing,Notice with Nazar.,"A child's backpack bounced behind him while he told a story with both hands.

What did the city show you when you slowed down?

#nazarapp #citywalk #streetpoetry #noticing

Notice with Nazar.",A child's backpack bounced behind him while he told a story with both hands.,Why do moments like this stay with us?,#nazarapp #citywalk #streetpoetry #noticing #sharethis,Share this with someone who would understand.,"A child's backpack bounced behind him while he told a story with both hands.

Why do moments like this stay with us?

#nazarapp #citywalk #streetpoetry #noticing #sharethis

Share this with someone who would understand.","A child's backpack bounced behind him while he told a story with both hands. A small moment, but not an empty one.",Where did beauty appear without announcing itself?,#nazarapp #citywalk #streetpoetry #noticing #quietbeauty,Let the ordinary be enough.,"A child's backpack bounced behind him while he told a story with both hands. A small moment, but not an empty one.

Where did beauty appear without announcing itself?

#nazarapp #citywalk #streetpoetry #noticing #quietbeauty

Let the ordinary be enough.",A child's backpack bounced behind him while he told a story with both hands. Nazar gives these small observations a quiet place to live.,What would you save in Nazar today?,#nazarapp #citywalk #streetpoetry #noticing,Start noticing with Nazar.,"A child's backpack bounced behind him while he told a story with both hands. Nazar gives these small observations a quiet place to live.

What would you save in Nazar today?

#nazarapp #citywalk #streetpoetry #noticing

Start noticing with Nazar."
19,reels/nazar-reel-019.mp4,city walks,10,laundromat window,The dryers turned all the white shirts into slow weather.,The dryers turned all the white shirts into slow weather.,What ordinary scene felt briefly cinematic today?,#nazarapp #citywalk #streetpoetry #noticing,Save it in Nazar.,"The dryers turned all the white shirts into slow weather.

What ordinary scene felt briefly cinematic today?

#nazarapp #citywalk #streetpoetry #noticing

Save it in Nazar.",The dryers turned all the white shirts into slow weather.,Who would understand this kind of noticing?,#nazarapp #citywalk #streetpoetry #noticing #sharethis,Keep this for your next quiet moment.,"The dryers turned all the white shirts into slow weather.

Who would understand this kind of noticing?

#nazarapp #citywalk #streetpoetry #noticing #sharethis

Keep this for your next quiet moment.","The dryers turned all the white shirts into slow weather. A small moment, but not an empty one.",What detail asked nothing from you except attention?,#nazarapp #citywalk #streetpoetry #noticing #quietbeauty,Let one small thing stay with you.,"The dryers turned all the white shirts into slow weather. A small moment, but not an empty one.

What detail asked nothing from you except attention?

#nazarapp #citywalk #streetpoetry #noticing #quietbeauty

Let one small thing stay with you.",The dryers turned all the white shirts into slow weather. Nazar gives these small observations a quiet place to live.,What did you notice that you would want to remember later?,#nazarapp #citywalk #streetpoetry #noticing,Keep it in Nazar.,"The dryers turned all the white shirts into slow weather. Nazar gives these small observations a quiet place to live.

What did you notice that you would want to remember later?

#nazarapp #citywalk #streetpoetry #noticing

Keep it in Nazar."
20,reels/nazar-reel-020.mp4,city walks,11,streetlight at noon,"One streetlight stayed on at noon, pale and unnecessary, but trying anyway.","One streetlight stayed on at noon, pale and unnecessary, but trying anyway.",What small street moment did you almost walk past?,#nazarapp #citywalk #streetpoetry #noticing,Open Nazar when something small stays with you.,"One streetlight stayed on at noon, pale and unnecessary, but trying anyway.

What small street moment did you almost walk past?

#nazarapp #citywalk #streetpoetry #noticing

Open Nazar when something small stays with you.","One streetlight stayed on at noon, pale and unnecessary, but trying anyway.",What is the smallest thing you saved today?,#nazarapp #citywalk #streetpoetry #noticing #sharethis,Send it to the friend who notices everything.,"One streetlight stayed on at noon, pale and unnecessary, but trying anyway.

What is the smallest thing you saved today?

#nazarapp #citywalk #streetpoetry #noticing #sharethis

Send it to the friend who notices everything.","One streetlight stayed on at noon, pale and unnecessary, but trying anyway. A small moment, but not an empty one.",What did you want to keep before it passed?,#nazarapp #citywalk #streetpoetry #noticing #quietbeauty,Keep looking softly.,"One streetlight stayed on at noon, pale and unnecessary, but trying anyway. A small moment, but not an empty one.

What did you want to keep before it passed?

#nazarapp #citywalk #streetpoetry #noticing #quietbeauty

Keep looking softly.","One streetlight stayed on at noon, pale and unnecessary, but trying anyway. Nazar gives these small observations a quiet place to live.",What did today give you that is worth writing down?,#nazarapp #citywalk #streetpoetry #noticing,Open Nazar and save one thing.,"One streetlight stayed on at noon, pale and unnecessary, but trying anyway. Nazar gives these small observations a quiet place to live.

What did today give you that is worth writing down?

#nazarapp #citywalk #streetpoetry #noticing

Open Nazar and save one thing."
21,reels/nazar-reel-021.mp4,train rides,7,between stations,The tunnel made everyone's reflection appear in the window at once.,The tunnel made everyone's reflection appear in the window at once.,What did you notice between where you were and where you were going?,#nazarapp #trainride #commuterlife #quietbeauty,Try Nazar.,"The tunnel made everyone's reflection appear in the window at once.

What did you notice between where you were and where you were going?

#nazarapp #trainride #commuterlife #quietbeauty

Try Nazar.",The tunnel made everyone's reflection appear in the window at once.,Would you have noticed this?,#nazarapp #trainride #commuterlife #quietbeauty #sharethis,Send this to someone who notices small things.,"The tunnel made everyone's reflection appear in the window at once.

Would you have noticed this?

#nazarapp #trainride #commuterlife #quietbeauty #sharethis

Send this to someone who notices small things.","The tunnel made everyone's reflection appear in the window at once. A small moment, but not an empty one.",What did the day quietly give you?,#nazarapp #trainride #commuterlife #quietbeauty #quietbeauty,Return to the smallest true thing.,"The tunnel made everyone's reflection appear in the window at once. A small moment, but not an empty one.

What did the day quietly give you?

#nazarapp #trainride #commuterlife #quietbeauty #quietbeauty

Return to the smallest true thing.",The tunnel made everyone's reflection appear in the window at once. Nazar gives these small observations a quiet place to live.,What small observation belongs in your Nazar journal?,#nazarapp #trainride #commuterlife #quietbeauty,Try Nazar.,"The tunnel made everyone's reflection appear in the window at once. Nazar gives these small observations a quiet place to live.

What small observation belongs in your Nazar journal?

#nazarapp #trainride #commuterlife #quietbeauty

Try Nazar."
22,reels/nazar-reel-022.mp4,train rides,8,sleeping commuter,"The man across from me woke up exactly one stop before his stop, like his body remembered for him.","The man across from me woke up exactly one stop before his stop, like his body remembered for him.",What small thing changed when the train started moving?,#nazarapp #trainride #commuterlife #quietbeauty,Keep one small thing in Nazar.,"The man across from me woke up exactly one stop before his stop, like his body remembered for him.

What small thing changed when the train started moving?

#nazarapp #trainride #commuterlife #quietbeauty

Keep one small thing in Nazar.","The man across from me woke up exactly one stop before his stop, like his body remembered for him.",What tiny detail did you almost miss today?,#nazarapp #trainride #commuterlife #quietbeauty #sharethis,Save this before the day gets loud.,"The man across from me woke up exactly one stop before his stop, like his body remembered for him.

What tiny detail did you almost miss today?

#nazarapp #trainride #commuterlife #quietbeauty #sharethis

Save this before the day gets loud.","The man across from me woke up exactly one stop before his stop, like his body remembered for him. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #trainride #commuterlife #quietbeauty #quietbeauty,Carry the detail with you.,"The man across from me woke up exactly one stop before his stop, like his body remembered for him. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #trainride #commuterlife #quietbeauty #quietbeauty

Carry the detail with you.","The man across from me woke up exactly one stop before his stop, like his body remembered for him. Nazar gives these small observations a quiet place to live.",What tiny moment would you keep if there were a quiet place for it?,#nazarapp #trainride #commuterlife #quietbeauty,Download Nazar.,"The man across from me woke up exactly one stop before his stop, like his body remembered for him. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #trainride #commuterlife #quietbeauty

Download Nazar."
